"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.886555493E1,6.499558868E1,2.546416144E1,-1.650497044E0,1.266478795E0,3.505053506E2,4.728372351E0,3.386300629E0
7.986555064E1,6.499559954E1,2.546415299E1,-1.898694975E0,1.272995350E0,3.477489256E2,4.732862867E0,3.380021615E0
8.086554611E1,6.499561284E1,2.546415659E1,-1.767415831E0,1.248291146E0,3.539931533E2,4.738165713E0,3.372583981E0
8.186554062E1,6.499563071E1,2.546416806E1,-1.923467710E0,1.591040956E0,5.376417474E0,4.732081033E0,3.381116107E0
8.286553526E1,6.499563783E1,2.546416979E1,-1.860720047E0,1.149566571E0,4.900219399E0,4.726355203E0,3.389115450E0
8.386553156E1,6.499565093E1,2.546416740E1,-1.671651872E0,1.238209795E0,3.585760886E2,4.731529051E0,3.381888506E0
8.486552596E1,6.499566226E1,2.546415742E1,-1.958828049E0,1.200510300E0,3.531397810E2,4.732236542E0,3.380898452E0
8.586552095E1,6.499567814E1,2.546414085E1,-2.827236504E0,1.515724240E0,3.469865475E2,4.734794214E0,3.377315619E0
8.686551619E1,6.499568841E1,2.546413143E1,-2.292891515E0,1.206292353E0,3.460137319E2,4.725099793E0,3.390865520E0
8.786551106E1,6.499570449E1,2.546412223E1,-2.513969410E0,1.431296115E0,3.461756275E2,4.729621268E0,3.384556056E0
8.886550629E1,6.499572069E1,2.546412046E1,-2.694371846E0,1.535776581E0,3.503579613E2,4.731758918E0,3.381566881E0
8.986550069E1,6.499573085E1,2.546412243E1,-2.492044424E0,1.202669004E0,3.551517248E2,4.725419916E0,3.390419391E0
9.086549532E1,6.499574443E1,2.546411284E1,-2.566050139E0,1.399480752E0,3.508679765E2,4.732297560E0,3.380813044E0
9.186549067E1,6.499576330E1,2.546410513E1,-2.231185679E0,1.691156910E0,3.518470042E2,4.733406882E0,3.379259729E0
