"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.122894250E0,8.356038080E-1,-8.837326786E-1,6.336072702E0
1.132893250E0,1.799113339E-2,-1.513362029E0,5.652392859E0
1.142892250E0,-8.921926495E-1,-1.696783630E0,4.414759499E0
1.152891250E0,-9.603285724E-1,-1.294122725E0,3.398102360E0
1.162890250E0,9.857718542E-2,-8.344681326E-1,2.151260805E0
1.172889250E0,1.083719441E0,-3.047986874E-1,1.051544552E0
1.182888250E0,1.785976472E0,8.059421986E-2,4.394854993E-1
1.192887250E0,2.051250175E0,5.261324644E-3,-1.222354585E-1
1.202886250E0,1.622426489E0,-4.044975150E-1,-1.201023942E-1
1.212885250E0,1.156045113E0,-1.064028942E0,3.818272752E-1
1.222884250E0,4.657022946E-1,-1.618028359E0,7.004888338E-1
1.232883250E0,5.578754450E-2,-1.809574081E0,7.034691596E-1
1.242882250E0,4.457562269E-2,-1.588999857E0,4.092647499E-1
1.252881250E0,1.638797852E-1,-1.194607500E0,-2.188688833E-1
1.262880250E0,3.134899522E-1,-8.252830338E-1,-1.039519753E0
1.272880250E0,3.798058562E-1,-5.338291544E-1,-1.863340398E0
1.282879250E0,2.986821892E-1,-4.288970688E-1,-2.553369148E0
1.292878250E0,2.141118992E-1,-4.090258911E-1,-2.843061261E0
1.302877250E0,-9.286887769E-2,-5.742433548E-1,-2.671846016E0
1.312875542E0,-4.869426709E-1,-7.853904051E-1,-2.254616189E0
1.322874542E0,-7.922244845E-1,-1.003612586E0,-1.850760114E0
1.332873542E0,-9.036387934E-1,-1.205970979E0,-1.432740912E0
1.342872542E0,-6.940036138E-1,-1.177800556E0,-1.060429396E0
1.352871542E0,-4.249965009E-1,-1.084515539E0,-9.479494321E-1
1.362870542E0,-2.126362995E-1,-9.508502358E-1,-9.952083832E-1
1.372869542E0,-3.354744963E-2,-7.852661517E-1,-1.433896322E0
1.382868542E0,3.303757974E-1,-4.452327275E-1,-1.735137856E0
1.392867542E0,7.233815601E-1,9.478745878E-2,-1.930288094E0
1.402866542E0,9.090123115E-1,4.162866712E-1,-2.010431201E0
1.412865542E0,9.100458799E-1,4.122368896E-1,-2.073720878E0
1.422864542E0,5.071873395E-1,3.339333165E-1,-2.090034025E0
1.432863542E0,1.291687214E-1,2.790408254E-1,-1.989754862E0
1.442862542E0,6.532162149E-2,2.074267593E-1,-1.736271046E0
1.452861542E0,-7.043640029E-2,1.881227615E-1,-1.495361668E0
1.462860542E0,-1.540539961E-1,1.739549580E-1,-1.202553574E0
1.472859542E0,-3.646355658E-2,3.086274442E-1,-1.018520647E0
1.482858542E0,2.217971140E-1,5.034929225E-1,-9.496369386E-1
1.492857542E0,3.209645576E-1,6.902360335E-1,-8.893398660E-1
1.502856542E0,3.006114049E-1,8.095829675E-1,-8.799018753E-1
1.512855542E0,1.122802175E-1,1.000462984E0,-8.148434150E-1
1.522854542E0,-2.562124915E-1,1.171791372E0,-9.197132277E-1
1.532853542E0,-3.374628786E-1,1.437060543E0,-1.053982841E0
1.542852542E0,-2.359376732E-1,1.681178581E0,-1.072575817E0
1.552851542E0,-8.972433647E-2,1.796581860E0,-9.694040358E-1
1.562850542E0,-7.491279105E-3,1.872421124E0,-5.802718341E-1
1.572849542E0,-7.584975254E-2,1.568786032E0,1.969634593E-2
1.582848542E0,2.591086357E-1,1.206838121E0,8.491858667E-1
1.592847542E0,4.571320307E-1,1.399064459E0,1.501933354E0
1.602846542E0,4.953092325E-1,1.516627407E0,1.765265050E0
1.612845542E0,5.193898939E-1,1.446024909E0,1.835982445E0
1.622844542E0,7.850020768E-1,1.252399625E0,1.855993956E0
1.632843542E0,1.592568851E0,4.203475624E-1,1.580899417E0
1.642842542E0,7.125387027E-1,9.220711175E-1,1.457849441E0
1.652841542E0,-8.777400865E-1,2.115717043E0,1.228777751E0
1.662840542E0,-1.018620635E0,2.547955211E0,1.159645536E0
1.672839542E0,-7.405164602E-1,2.727135825E0,1.508837162E0
1.682838542E0,-7.885134760E-1,2.684043016E0,2.032495084E0
1.692837542E0,-1.050715490E0,2.495537554E0,2.622055805E0
1.702836542E0,-1.162651809E0,2.288263991E0,3.145040129E0
1.712835542E0,-6.452354233E-1,1.822213714E0,3.434106590E0
1.722834542E0,-1.342413728E-1,1.564663161E0,3.824433378E0
1.732833542E0,4.997863725E-1,1.313277327E0,4.364422574E0
1.742832542E0,8.119719205E-1,6.862777609E-1,5.054141421E0
1.752831542E0,6.770205952E-1,-3.916658002E-1,5.832072533E0
1.762830542E0,6.629733174E-1,-5.680651867E-1,5.522046143E0
1.772829542E0,6.959955409E-1,-7.064176181E-1,4.766327434E0
1.782828542E0,5.731942181E-1,-6.652371401E-1,3.567722484E0
1.792827542E0,2.945931034E-1,-4.861714232E-1,2.157268819E0
1.802826542E0,8.873003572E-3,-3.452041170E-1,7.369462234E-1
1.812825542E0,-2.470337882E-1,-2.104933316E-1,-5.269259316E-1
1.822824542E0,-2.647325059E-1,-1.339094245E-1,-1.329227654E0
1.832823542E0,-1.409178059E-1,-1.801512524E-1,-1.447254286E0
1.842822542E0,3.624316223E-2,-4.361049315E-1,-1.166822408E0
1.852821542E0,2.595008559E-1,-7.737830973E-1,-7.690480220E-1
1.862820542E0,4.113173418E-1,-1.095643960E0,-4.957316208E-1
1.872819542E0,9.378513638E-2,-1.467071085E0,-4.767404491E-1
1.882818542E0,-1.486732969E-1,-1.818642820E0,-7.868095243E-1
1.892817542E0,-3.631210821E-1,-1.995293637E0,-1.342831786E0
1.902816542E0,-2.862967084E-1,-1.986964570E0,-1.946635154E0
1.912815542E0,-1.208610705E-1,-1.967146018E0,-2.535255058E0
1.922814542E0,-4.433950207E-1,-1.896954871E0,-2.908011548E0
1.932813542E0,-7.208352439E-1,-1.545765837E0,-3.042502770E0
1.942812542E0,-3.041668957E-1,-1.385127035E0,-3.008709957E0
1.952811542E0,-1.461094207E-1,-1.524492789E0,-2.882700706E0
1.962810542E0,-3.136901097E-1,-1.634982653E0,-2.678368000E0
1.972809542E0,-5.177661586E-1,-1.493550201E0,-2.474990730E0
1.982808542E0,-5.258683530E-1,-1.321195918E0,-2.419069129E0
1.992807542E0,-4.098302487E-1,-1.106492007E0,-2.486591606E0
2.002806542E0,-1.750623110E-1,-8.133409730E-1,-2.384632537E0
2.012805542E0,1.447124113E-1,-4.930024329E-1,-2.337751901E0
2.022804542E0,4.684387185E-1,-1.493191767E-1,-2.360465995E0
2.032803542E0,6.354995169E-1,2.091516879E-1,-2.198305163E0
2.042802542E0,6.055902048E-1,3.374676660E-1,-2.115257744E0
2.052801542E0,5.155584327E-1,4.068460491E-1,-2.094202505E0
2.062800542E0,3.832909063E-1,4.689618981E-1,-1.892189975E0
2.072799542E0,1.023590183E-1,5.452253777E-1,-1.648994336E0
2.082798542E0,-1.200747296E-1,4.911485732E-1,-1.491656288E0
2.092797542E0,-2.835820654E-1,4.272040075E-1,-1.317447853E0
2.102796542E0,-4.439110010E-1,4.694682670E-1,-9.628253335E-1
2.112795542E0,-5.800842481E-1,5.074471021E-1,-5.639306206E-1
2.122794542E0,-5.123600788E-1,5.658037761E-1,-2.766645169E-1
2.132793542E0,-3.625782412E-1,6.989343515E-1,-1.338328260E-1
2.142792542E0,-5.875168998E-2,8.388134909E-1,-1.976961154E-1
2.152791542E0,3.698021838E-1,1.084881575E0,-1.619503319E-1
2.162790542E0,8.038645367E-1,1.248925795E0,1.078074539E-1
2.172789542E0,1.078836796E0,1.291476860E0,3.677255452E-1
2.182788542E0,1.010063381E0,1.136109324E0,4.348661989E-1
2.192787542E0,8.816144516E-1,9.527751392E-1,3.851987797E-1
2.202786542E0,6.199983289E-1,7.901892149E-1,2.980413526E-1
2.212785542E0,4.343958269E-1,6.602892262E-1,4.115667987E-1
2.222784542E0,2.012752326E-1,5.460299546E-1,7.872439724E-1
2.232783542E0,-9.473381057E-2,4.901779354E-1,1.370418364E0
2.242782542E0,-4.267231471E-1,5.253249639E-1,1.965952601E0
2.252781542E0,-5.491591286E-1,6.093816125E-1,2.021482438E0
2.262781542E0,-4.242397250E-1,6.545940381E-1,1.540950655E0
2.272780542E0,-1.660630807E-1,8.256075543E-1,1.088442822E0
2.282779542E0,3.459048327E-1,1.149971318E0,7.895945531E-1
2.292778542E0,1.049098442E0,1.318003923E0,7.069687182E-1
2.302778167E0,1.458523625E0,1.056887445E0,9.504385918E-1
2.312777167E0,1.655433290E0,4.529703480E-1,1.593542266E0
2.322776167E0,1.807604446E0,-1.974967253E-1,2.624326279E0
2.332775167E0,1.704397874E0,-7.595565292E-1,3.849880461E0
2.342774167E0,1.421077910E0,-1.199346376E0,4.776020948E0
2.352773167E0,1.139866379E0,-1.619457419E0,4.743477684E0
2.362772167E0,1.078810118E0,-1.667970013E0,3.980499657E0
2.372771167E0,1.369050408E0,-1.266696945E0,2.524866310E0
2.382770167E0,1.849359121E0,-6.625696403E-1,7.021272236E-1
2.392769167E0,2.557754560E0,-2.402793404E-1,-7.901009220E-1
